source,value,parameter,reference,unit
2MASS J23225299-6151275,4.23,log g,Fili15,dex
2MASS J23515044-2537367,5.22,log g,Fili15,dex
APMPM J2354-3316C,5.22,log g,Fili15,dex
SDSS J000013.54+255418.6,1227.0,T eff,Fili15,K
2MASS J00034227-2822410,2871.0,T eff,Fili15,K
2MASS J00040288-6410358,1896.0,T eff,Fili15,K
2MASS J00242463-0158201,2390.0,T eff,Fili15,K
2MASS J00274197+0503417,1945.0,T eff,Fili15,K
2MASSW J0030300-145033,1466.0,T eff,Fili15,K
2MASS J00332386-1521309,1887.0,T eff,Fili15,K
2MASS J00345157+0523050,899.0,T eff,Fili15,K
2MASSW J0036159+182110,1869.0,T eff,Fili15,K
HD 3651B,793.0,T eff,Fili15,K
2MASSW J0045214+163445,1987.0,T eff,Fili15,K
WISEP J004701.06+680352.1,1227.0,T eff,Fili15,K
2MASS J00501994-3322402,836.0,T eff,Fili15,K
2MASS J00584253-0651239,1864.0,T eff,Fili15,K
LHS 132,2636.0,T eff,Fili15,K
2MASSI J0103320+193536,1231.0,T eff,Fili15,K
SDSSp J010752.33+004156.1,1385.0,T eff,Fili15,K
GU Psc b,981.0,T eff,Fili15,K
2MASSI J0117474-340325,1917.0,T eff,Fili15,K
2MASS J01415823-4633574,1917.0,T eff,Fili15,K
SDSS J015141.69+124429.6,1196.0,T eff,Fili15,K
SDSS J020742.48+000056.2,1201.0,T eff,Fili15,K
2MASS J02103857-3015313,1598.0,T eff,Fili15,K
2MASS J02340093-6442068,1850.0,T eff,Fili15,K
2MASS J02411151-0326587,1788.0,T eff,Fili15,K
2MASSI J0243137-245329,972.0,T eff,Fili15,K
LP 771-21,2365.0,T eff,Fili15,K
2MASS J02511327+0047364,2811.0,T eff,Fili15,K
2MASS J02530084+1652532,2688.0,T eff,Fili15,K
2MASS J02535980+3206373,2628.0,T eff,Fili15,K
WISEPA J025409.45+022359.1,621.0,T eff,Fili15,K
DENIS-P J0255-4700,1290.0,T eff,Fili15,K
2MASS J03185403-3421292,1344.0,T eff,Fili15,K
2MASS J03205965+1854233,2586.0,T eff,Fili15,K
2MASS J03231002-4631237,2039.0,T eff,Fili15,K
SDSS J032553.17+042540.1,1015.0,T eff,Fili15,K
2MASS J03264225-2102057,1381.0,T eff,Fili15,K
2MASSI J0328426+230205,1466.0,T eff,Fili15,K
2MASS J03341218-4953322,2173.0,T eff,Fili15,K
LP 944-20,1942.0,T eff,Fili15,K
2MASP J0345432+254023,2213.0,T eff,Fili15,K
2MASS J03510004-0052452,2810.0,T eff,Fili15,K
2MASS J03552337+1133437,1478.0,T eff,Fili15,K
2MASSI J0415195-093506,677.0,T eff,Fili15,K
2MASSI J0428510-225323,2400.0,T eff,Fili15,K
2MASS J04351612-1606574,2795.0,T eff,Fili15,K
2MASS J04362788-4114465,2445.0,T eff,Fili15,K
2MASSI J0439010-235308,1290.0,T eff,Fili15,K
2MASS J04433764+0002040,2230.0,T eff,Fili15,K
2MASSI J0445538-304820,1809.0,T eff,Fili15,K
2MASSI J0451009-340214,2155.0,T eff,Fili15,K
2MASS J05002100+0330501,1793.0,T eff,Fili15,K
2MASS J05012406-0010452,1560.0,T eff,Fili15,K
2MASS J05160945-0445499,1211.0,T eff,Fili15,K
2MASSI J0523382-140302,1939.0,T eff,Fili15,K
SDSS J053951.99-005902.0,1659.0,T eff,Fili15,K
2MASS J05591914-1404488,1301.0,T eff,Fili15,K
LSR 0602+3910,1854.0,T eff,Fili15,K
2MASS J06085283-2753583,2145.0,T eff,Fili15,K
Gl 229B,927.0,T eff,Fili15,K
AB Pic b,1674.0,T eff,Fili15,K
2MASS J06244595-4521548,1501.0,T eff,Fili15,K
2MASS J06411840-4322329,1927.0,T eff,Fili15,K
DENIS-P J0652197-253450,2231.0,T eff,Fili15,K
2MASS J07075327-4900503,2151.0,T eff,Fili15,K
UGPS J072227.51-054031.2,569.0,T eff,Fili15,K
2MASSI J0727182+171001,845.0,T eff,Fili15,K
2MASS J07290002-3954043,752.0,T eff,Fili15,K
SDSS J074201.41+205520.5,958.0,T eff,Fili15,K
DENIS-P J0751164-253043,2083.0,T eff,Fili15,K
2MASS J07522390+1612157,2731.0,T eff,Fili15,K
DENIS J081730.0-615520,1004.0,T eff,Fili15,K
2MASSI J0825196+211552,1341.0,T eff,Fili15,K
GJ 1111,2752.0,T eff,Fili15,K
SDSS J083048.80+012831.1,1138.0,T eff,Fili15,K
LHS 2021,2599.0,T eff,Fili15,K
SDSSp J083008.12+482847.4,1258.0,T eff,Fili15,K
2MASSI J0835425-081923,1754.0,T eff,Fili15,K
2MASSI J0847287-153237,1794.0,T eff,Fili15,K
2MASS J08533619-0329321,2320.0,T eff,Fili15,K
2MASSI J0859254-194926,1374.0,T eff,Fili15,K
2MASSI J0937347+293142,881.0,T eff,Fili15,K
2MASS J09393548-2448279,686.0,T eff,Fili15,K
2MASS J09490860-1545485,1125.0,T eff,Fili15,K
G 196-3B,1789.0,T eff,Fili15,K
2MASS J10073369-4555147,1017.0,T eff,Fili15,K
2MASSI J1010148-040649,1416.0,T eff,Fili15,K
HD 89744B,2183.0,T eff,Fili15,K
2MASS J10224821+5825453,1820.0,T eff,Fili15,K
2MASSW J1036530-344138,1368.0,T eff,Fili15,K
2MASSI J1047538+212423,880.0,T eff,Fili15,K
DENIS-P J1048.0-3956,2307.0,T eff,Fili15,K
Luhman 16A,1334.0,T eff,Fili15,K
Luhman 16B,1261.0,T eff,Fili15,K
2MASS J10562886+0700527,2517.0,T eff,Fili15,K
DENIS-P J1058.7-1548,1809.0,T eff,Fili15,K
TWA 28,2670.0,T eff,Fili15,K
SDSS J111010.01+011613.1,926.0,T eff,Fili15,K
2MASS J11145133-2618235,669.0,T eff,Fili15,K
TWA 26,2552.0,T eff,Fili15,K
2MASS J11544223-3400390,2155.0,T eff,Fili15,K
2MASSW J1155395-372735,1793.0,T eff,Fili15,K
2MASS J12074836-3900043,1961.0,T eff,Fili15,K
TWA 27A,2637.0,T eff,Fili15,K
TWA 27B,994.0,T eff,Fili15,K
2MASSI J1217110-031113,885.0,T eff,Fili15,K
2MASS J12373919+6526148,851.0,T eff,Fili15,K
TWA 29,2391.0,T eff,Fili15,K
SDSSp J125453.90-012247.4,1219.0,T eff,Fili15,K
Ross 458C,721.0,T eff,Fili15,K
2MASS J13204427+0409045,1913.0,T eff,Fili15,K
SDSSp J132629.82-003831.5,1381.0,T eff,Fili15,K
SDSSp J134646.45-003150.4,1011.0,T eff,Fili15,K
2MASS J13595510-4034582,1799.0,T eff,Fili15,K
2MASS J14112131-2119503,2694.0,T eff,Fili15,K
ULAS J141623.94+134836.3,656.0,T eff,Fili15,K
SDSS J141659.78+500626.4,1595.0,T eff,Fili15,K
GD 165B,1755.0,T eff,Fili15,K
DENIS-P J142527.97-365023.4,1535.0,T eff,Fili15,K
LHS 2924,2275.0,T eff,Fili15,K
LHS 377,2769.0,T eff,Fili15,K
2MASS J14392837+1929150,2121.0,T eff,Fili15,K
LSPM J1440+1339,2672.0,T eff,Fili15,K
2MASS J14482563+1031590,1623.0,T eff,Fili15,K
LHS 3003,2511.0,T eff,Fili15,K
Gliese 570D,759.0,T eff,Fili15,K
TVLM 513-46546,2242.0,T eff,Fili15,K
2MASS J15031961+2525196,1016.0,T eff,Fili15,K
CFBDS J150411+102717,992.0,T eff,Fili15,K
2MASSW J1506544+132106,2004.0,T eff,Fili15,K
2MASSW J1507476-162738,1607.0,T eff,Fili15,K
TVLM 868-110639,2377.0,T eff,Fili15,K
2MASSW J1515008+484742,1505.0,T eff,Fili15,K
Gl 584C,1295.0,T eff,Fili15,K
2MASSI J1526140+204341,1518.0,T eff,Fili15,K
DENIS-P J153941.96-052042.4,1753.0,T eff,Fili15,K
2MASS J15462718-3325111,1002.0,T eff,Fili15,K
2MASSW J1552591+294849,1956.0,T eff,Fili15,K
2MASSW J1555157-095605,2102.0,T eff,Fili15,K
2MASS J16150413+1340079,906.0,T eff,Fili15,K
SDSSp J162414.37+002915.6,936.0,T eff,Fili15,K
2MASS J16262034+3925190,2103.0,T eff,Fili15,K
2MASSW J1632291+190441,1279.0,T eff,Fili15,K
WISEPA J164715.59+563208.2,875.0,T eff,Fili15,K
vB 8,2639.0,T eff,Fili15,K
LSPM J1658+7027,2181.0,T eff,Fili15,K
2MASSI J1726000+153819,1668.0,T eff,Fili15,K
SDSSp J175032.96+175903.9,1228.0,T eff,Fili15,K
2MASS J18283572-4849046,1060.0,T eff,Fili15,K
2MASS J18353790+3259545,2316.0,T eff,Fili15,K
2MASSW J1841086+311727,1914.0,T eff,Fili15,K
2MASS J18432213+4040209,2731.0,T eff,Fili15,K
Gliese 752 B,2531.0,T eff,Fili15,K
2MASS J20004841-7523070,2375.0,T eff,Fili15,K
SDSS J204749.61-071818.3,1124.0,T eff,Fili15,K
2MASSI J2057540-025230,2044.0,T eff,Fili15,K
2MASSI J2104149-103736,1994.0,T eff,Fili15,K
PSO J318.5338-22.8603,1210.0,T eff,Fili15,K
2MASS J21265040-8140293,1663.0,T eff,Fili15,K
HB 2124-4228,2676.0,T eff,Fili15,K
2MASS J21392676+0220226,1123.0,T eff,Fili15,K
HN Peg B,1043.0,T eff,Fili15,K
2MASS J21481628+4003593,1446.0,T eff,Fili15,K
2MASSW J2206450-421721,1588.0,T eff,Fili15,K
2MASSW J2208136+292121,1804.0,T eff,Fili15,K
2MASSW J2224438-015852,1646.0,T eff,Fili15,K
2MASS J22282889-4310262,891.0,T eff,Fili15,K
2MASS J22373255+3922398,2173.0,T eff,Fili15,K
2MASSW J2244316+204343,1209.0,T eff,Fili15,K
2MASS J23062928-0502285,2557.0,T eff,Fili15,K
2MASS J23224684-3133231,1665.0,T eff,Fili15,K
2MASS J23225299-6151275,1793.0,T eff,Fili15,K
2MASS J23515044-2537367,2590.0,T eff,Fili15,K
APMPM J2354-3316C,2423.0,T eff,Fili15,K
SDSS J000013.54+255418.6,47.56,mass,Fili15,M_jup
2MASS J00034227-2822410,106.97,mass,Fili15,M_jup
2MASS J00040288-6410358,19.18,mass,Fili15,M_jup
2MASS J00242463-0158201,79.27,mass,Fili15,M_jup
2MASS J00274197+0503417,31.35,mass,Fili15,M_jup
2MASSW J0030300-145033,53.55,mass,Fili15,M_jup
2MASS J00332386-1521309,29.05,mass,Fili15,M_jup
2MASS J00345157+0523050,42.13,mass,Fili15,M_jup
2MASSW J0036159+182110,66.07,mass,Fili15,M_jup
HD 3651B,46.96,mass,Fili15,M_jup
2MASSW J0045214+163445,22.71,mass,Fili15,M_jup
WISEP J004701.06+680352.1,12.13,mass,Fili15,M_jup
2MASS J00501994-3322402,40.34,mass,Fili15,M_jup
2MASS J00584253-0651239,29.23,mass,Fili15,M_jup
LHS 132,90.28,mass,Fili15,M_jup
2MASSI J0103320+193536,15.07,mass,Fili15,M_jup
SDSSp J010752.33+004156.1,52.41,mass,Fili15,M_jup
GU Psc b,9.84,mass,Fili15,M_jup
2MASSI J0117474-340325,19.85,mass,Fili15,M_jup
2MASS J01415823-4633574,19.57,mass,Fili15,M_jup
SDSS J015141.69+124429.6,47.11,mass,Fili15,M_jup
SDSS J020742.48+000056.2,47.08,mass,Fili15,M_jup
2MASS J02103857-3015313,14.59,mass,Fili15,M_jup
2MASS J02340093-6442068,19.56,mass,Fili15,M_jup
2MASS J02411151-0326587,27.35,mass,Fili15,M_jup
2MASSI J0243137-245329,43.59,mass,Fili15,M_jup
LP 771-21,78.26,mass,Fili15,M_jup
2MASS J02511327+0047364,102.13,mass,Fili15,M_jup
2MASS J02530084+1652532,93.64,mass,Fili15,M_jup
2MASS J02535980+3206373,65.1,mass,Fili15,M_jup
WISEPA J025409.45+022359.1,31.22,mass,Fili15,M_jup
DENIS-P J0255-4700,49.92,mass,Fili15,M_jup
2MASS J03185403-3421292,48.98,mass,Fili15,M_jup
2MASS J03205965+1854233,87.6,mass,Fili15,M_jup
2MASS J03231002-4631237,23.11,mass,Fili15,M_jup
SDSS J032553.17+042540.1,44.61,mass,Fili15,M_jup
2MASS J03264225-2102057,18.4,mass,Fili15,M_jup
2MASSI J0328426+230205,54.42,mass,Fili15,M_jup
2MASS J03341218-4953322,72.89,mass,Fili15,M_jup
LP 944-20,29.53,mass,Fili15,M_jup
2MASP J0345432+254023,74.14,mass,Fili15,M_jup
2MASS J03510004-0052452,101.58,mass,Fili15,M_jup
2MASS J03552337+1133437,19.98,mass,Fili15,M_jup
2MASSI J0415195-093506,32.99,mass,Fili15,M_jup
2MASSI J0428510-225323,79.61,mass,Fili15,M_jup
2MASS J04351612-1606574,100.44,mass,Fili15,M_jup
2MASS J04362788-4114465,39.0,mass,Fili15,M_jup
2MASSI J0439010-235308,48.01,mass,Fili15,M_jup
2MASS J04433764+0002040,21.99,mass,Fili15,M_jup
2MASSI J0445538-304820,63.8,mass,Fili15,M_jup
2MASSI J0451009-340214,72.38,mass,Fili15,M_jup
2MASS J05002100+0330501,63.68,mass,Fili15,M_jup
2MASS J05012406-0010452,21.44,mass,Fili15,M_jup
2MASS J05160945-0445499,47.18,mass,Fili15,M_jup
2MASSI J0523382-140302,67.54,mass,Fili15,M_jup
SDSS J053951.99-005902.0,60.74,mass,Fili15,M_jup
2MASS J05591914-1404488,50.44,mass,Fili15,M_jup
LSR 0602+3910,27.61,mass,Fili15,M_jup
2MASS J06085283-2753583,37.8,mass,Fili15,M_jup
Gl 229B,42.64,mass,Fili15,M_jup
AB Pic b,15.31,mass,Fili15,M_jup
2MASS J06244595-4521548,56.04,mass,Fili15,M_jup
2MASS J06411840-4322329,66.67,mass,Fili15,M_jup
DENIS-P J0652197-253450,74.67,mass,Fili15,M_jup
2MASS J07075327-4900503,72.07,mass,Fili15,M_jup
UGPS J072227.51-054031.2,26.11,mass,Fili15,M_jup
2MASSI J0727182+171001,40.55,mass,Fili15,M_jup
2MASS J07290002-3954043,37.44,mass,Fili15,M_jup
SDSS J074201.41+205520.5,43.43,mass,Fili15,M_jup
DENIS-P J0751164-253043,70.69,mass,Fili15,M_jup
2MASS J07522390+1612157,67.67,mass,Fili15,M_jup
DENIS J081730.0-615520,44.2,mass,Fili15,M_jup
2MASSI J0825196+211552,51.98,mass,Fili15,M_jup
GJ 1111,97.35,mass,Fili15,M_jup
SDSS J083048.80+012831.1,46.42,mass,Fili15,M_jup
LHS 2021,88.22,mass,Fili15,M_jup
SDSSp J083008.12+482847.4,48.0,mass,Fili15,M_jup
2MASSI J0835425-081923,62.47,mass,Fili15,M_jup
2MASSI J0847287-153237,63.55,mass,Fili15,M_jup
2MASS J08533619-0329321,77.36,mass,Fili15,M_jup
2MASSI J0859254-194926,50.29,mass,Fili15,M_jup
2MASSI J0937347+293142,41.56,mass,Fili15,M_jup
2MASS J09393548-2448279,33.67,mass,Fili15,M_jup
2MASS J09490860-1545485,46.29,mass,Fili15,M_jup
G 196-3B,32.41,mass,Fili15,M_jup
2MASS J10073369-4555147,44.44,mass,Fili15,M_jup
2MASSI J1010148-040649,51.16,mass,Fili15,M_jup
HD 89744B,73.21,mass,Fili15,M_jup
2MASS J10224821+5825453,27.2,mass,Fili15,M_jup
2MASSW J1036530-344138,49.24,mass,Fili15,M_jup
2MASSI J1047538+212423,41.61,mass,Fili15,M_jup
DENIS-P J1048.0-3956,77.0,mass,Fili15,M_jup
Luhman 16A,43.1,mass,Fili15,M_jup
Luhman 16B,39.84,mass,Fili15,M_jup
2MASS J10562886+0700527,100.7,mass,Fili15,M_jup
DENIS-P J1058.7-1548,64.24,mass,Fili15,M_jup
TWA 28,35.91,mass,Fili15,M_jup
SDSS J111010.01+011613.1,8.98,mass,Fili15,M_jup
2MASS J11145133-2618235,32.53,mass,Fili15,M_jup
TWA 26,30.05,mass,Fili15,M_jup
2MASS J11544223-3400390,36.86,mass,Fili15,M_jup
2MASSW J1155395-372735,63.54,mass,Fili15,M_jup
2MASS J12074836-3900043,17.28,mass,Fili15,M_jup
TWA 27A,33.43,mass,Fili15,M_jup
TWA 27B,4.81,mass,Fili15,M_jup
2MASSI J1217110-031113,41.7,mass,Fili15,M_jup
2MASS J12373919+6526148,40.85,mass,Fili15,M_jup
TWA 29,25.41,mass,Fili15,M_jup
SDSSp J125453.90-012247.4,47.44,mass,Fili15,M_jup
Ross 458C,32.1,mass,Fili15,M_jup
2MASS J13204427+0409045,66.94,mass,Fili15,M_jup
SDSSp J132629.82-003831.5,51.09,mass,Fili15,M_jup
SDSSp J134646.45-003150.4,44.29,mass,Fili15,M_jup
2MASS J13595510-4034582,63.44,mass,Fili15,M_jup
2MASS J14112131-2119503,69.62,mass,Fili15,M_jup
ULAS J141623.94+134836.3,31.78,mass,Fili15,M_jup
SDSS J141659.78+500626.4,59.02,mass,Fili15,M_jup
GD 165B,62.58,mass,Fili15,M_jup
DENIS-P J142527.97-365023.4,20.76,mass,Fili15,M_jup
LHS 2924,75.98,mass,Fili15,M_jup
LHS 377,98.49,mass,Fili15,M_jup
2MASS J14392837+1929150,71.64,mass,Fili15,M_jup
LSPM J1440+1339,92.33,mass,Fili15,M_jup
2MASS J14482563+1031590,59.43,mass,Fili15,M_jup
LHS 3003,84.02,mass,Fili15,M_jup
Gliese 570D,37.28,mass,Fili15,M_jup
TVLM 513-46546,75.07,mass,Fili15,M_jup
2MASS J15031961+2525196,44.34,mass,Fili15,M_jup
CFBDS J150411+102717,43.97,mass,Fili15,M_jup
2MASSW J1506544+132106,68.77,mass,Fili15,M_jup
2MASSW J1507476-162738,59.66,mass,Fili15,M_jup
TVLM 868-110639,78.67,mass,Fili15,M_jup
2MASSW J1515008+484742,56.83,mass,Fili15,M_jup
Gl 584C,50.1,mass,Fili15,M_jup
2MASSI J1526140+204341,54.39,mass,Fili15,M_jup
DENIS-P J153941.96-052042.4,62.64,mass,Fili15,M_jup
2MASS J15462718-3325111,44.13,mass,Fili15,M_jup
2MASSW J1552591+294849,30.04,mass,Fili15,M_jup
2MASSW J1555157-095605,71.12,mass,Fili15,M_jup
2MASS J16150413+1340079,42.35,mass,Fili15,M_jup
SDSSp J162414.37+002915.6,42.84,mass,Fili15,M_jup
2MASS J16262034+3925190,71.03,mass,Fili15,M_jup
2MASSW J1632291+190441,49.46,mass,Fili15,M_jup
WISEPA J164715.59+563208.2,41.07,mass,Fili15,M_jup
vB 8,90.47,mass,Fili15,M_jup
LSPM J1658+7027,73.21,mass,Fili15,M_jup
2MASSI J1726000+153819,24.06,mass,Fili15,M_jup
SDSSp J175032.96+175903.9,47.37,mass,Fili15,M_jup
2MASS J18283572-4849046,45.21,mass,Fili15,M_jup
2MASS J18353790+3259545,77.28,mass,Fili15,M_jup
2MASSW J1841086+311727,66.52,mass,Fili15,M_jup
2MASS J18432213+4040209,95.94,mass,Fili15,M_jup
Gliese 752 B,85.15,mass,Fili15,M_jup
2MASS J20004841-7523070,24.75,mass,Fili15,M_jup
SDSS J204749.61-071818.3,46.25,mass,Fili15,M_jup
2MASSI J2057540-025230,69.56,mass,Fili15,M_jup
2MASSI J2104149-103736,68.59,mass,Fili15,M_jup
PSO J318.5338-22.8603,7.09,mass,Fili15,M_jup
2MASS J21265040-8140293,23.8,mass,Fili15,M_jup
HB 2124-4228,93.91,mass,Fili15,M_jup
2MASS J21392676+0220226,46.29,mass,Fili15,M_jup
HN Peg B,20.16,mass,Fili15,M_jup
2MASS J21481628+4003593,55.03,mass,Fili15,M_jup
2MASSW J2206450-421721,21.74,mass,Fili15,M_jup
2MASSW J2208136+292121,26.71,mass,Fili15,M_jup
2MASSW J2224438-015852,60.57,mass,Fili15,M_jup
2MASS J22282889-4310262,41.97,mass,Fili15,M_jup
2MASS J22373255+3922398,72.87,mass,Fili15,M_jup
2MASSW J2244316+204343,11.91,mass,Fili15,M_jup
2MASS J23062928-0502285,86.07,mass,Fili15,M_jup
2MASS J23224684-3133231,23.93,mass,Fili15,M_jup
2MASS J23225299-6151275,17.35,mass,Fili15,M_jup
2MASS J23515044-2537367,88.31,mass,Fili15,M_jup
APMPM J2354-3316C,80.46,mass,Fili15,M_jup
