source,access_url,regime,telescope,instrument,mode,observation_date,comments,reference
ULAS_J021642.96+004005.7,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J021642.96+004005.7_sdL4_Xshooter_VIS_Primeval-I.fits,optical,ESO VLT,XShooter,Echelle,,,Zhan18.1352
ULAS_J223302.03+062030.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J223302.03+062030.8_esdL0.5_Xshooter_VIS_Primeval-IV.fits,optical,ESO VLT,XShooter,Echelle,2015-09-11T02:17:10.443000,,Zhan18.1352
ULAS_J231949.36+044559.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J231949.36+044559.5_M7_comb_OSIRIS_scombine_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-17T04:41:52.721000,,Zhan18.1352
ULAS_J141203.85+121609.9,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J141203.85+121609.9_sdL5_Xshooter_NIR_Primeval-IV.fits,nir,ESO VLT,XShooter,Echelle,2015-02-25T08:08:16.832500,,Zhan18.1352
ULAS_J010756.85+100811.3,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J010756.85+100811.3_sdM7_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-08-10T01:41:40.897000,,Zhan18.1352
SDSS_J010448.46+153501.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/SDSS_J010448.46+153501.8_usdL1.5_Xshooter_NIR_Primeval-II.fits,nir,ESO VLT,XShooter,Echelle,2016-09-10T03:36:49.489500,,Zhan18.1352
ULAS_J021642.96+004005.7,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J021642.96+004005.7_sdL4_Xshooter_NIR_Primeval-I.fits,nir,ESO VLT,XShooter,Echelle,,,Zhan18.1352
ULAS_J231924.35+052524.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J231924.35+052524.5_esdL1_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-09-03T02:42:30.244000,,Zhan18.1352
ULAS_J141203.85+121609.9,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J141203.85+121609.9_sdL5_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-01-21T06:13:21.430000,,Zhan18.1352
ULAS_J082206.61+044101.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J082206.61+044101.8_sdL0.5_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-12-07T04:50:39.083000,,Zhan18.1352
ULAS_J130710.22+151103.4,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J130710.22+151103.4_sdL8_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-26T21:29:11.335000,,Zhan18.1352
ULAS_J154638.34-011213.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J154638.34-011213.0_sdL3_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-05-08T02:08:03.882000,,Zhan18.1352
ULAS_J020628.22+020255.6,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J020628.22+020255.6_sdM7_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-08-29T04:57:33.808000,,Zhan18.1352
ULAS_J145234.65+043738.4,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J145234.65+043738.4_esdL0.5_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-01-21T06:54:00.891000,,Zhan18.1352
ULAS_J134206.86+053724.9,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J134206.86+053724.9_sdL1_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-25T21:28:43.303000,,Zhan18.1352
ULAS_J230711.01+014447.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J230711.01+014447.1_usdL4.5_Xshooter_VIS_Primeval-III.fits,optical,ESO VLT,XShooter,Echelle,2015-09-11T03:43:03.320000,,Zhan18.1352
ULAS_J135216.31+312327.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J135216.31+312327.0_esdL0.5_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-03-13T05:58:08.875000,,Zhan18.1352
ULAS_J143154.18-004114.3,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J143154.18-004114.3_sdM9_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-13T21:31:34.286000,,Zhan18.1352
ULAS_J231924.35+052524.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J231924.35+052524.5_esdL1_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-17T04:41:52.721000,,Zhan18.1352
ULAS_J223440.80+001002.6,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J223440.80+001002.6_sdL1_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-18T04:14:32.784000,,Zhan18.1352
ULAS_J230711.01+014447.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J230711.01+014447.1_usdL4.5_Xshooter_NIR_Primeval-III.fits,nir,ESO VLT,XShooter,Echelle,2015-09-11T03:43:06.651100,,Zhan18.1352
ULAS_J123142.99+015045.4,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J123142.99+015045.4_sdL0_OSIRIS_GTC80-15A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2015-03-17T04:50:03.808000,,Zhan18.1352
ULAS_J233227.03+123452.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J233227.03+123452.0_M6_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-08-09T01:56:40.061000,,Zhan18.1352
ULAS_J233227.03+123452.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J233227.03+123452.0_L6p+T4p_Xshooter_NIR_Primeval-IV.fits,nir,ESO VLT,XShooter,Echelle,2015-09-10T04:48:51.811000,,Zhan18.1352
ULAS_J231924.35+052524.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J231924.35+052524.5_esdL1_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-07T02:44:26.635000,,Zhan18.1352
ULAS_J143517.18-014713.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J143517.18-014713.1_sdM9_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-05-09T03:42:04.479000,,Zhan18.1352
ULAS_J021258.08+064115.9,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J021258.08+064115.9_sdL1_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-09-02T04:36:59.908000,,Zhan18.1352
ULAS_J223123.44+010025.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J223123.44+010025.1_M6_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-14T04:56:58.345000,,Zhan18.1352
ULAS_J151649.84+083607.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J151649.84+083607.1_sdL5_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-25T22:23:57.653000,,Zhan18.1352
ULAS_J125938.50+301500.2,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J125938.50+301500.2_M9_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-05-09T02:43:42.021000,,Zhan18.1352
2MASS_J06164006-6407194,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J06164006-6407194_esdL6_Xshooter_VIS_Primeval-I.fits,optical,ESO VLT,XShooter,Echelle,2016-01-24T02:58:20.682000,,Zhan18.1352
2MASS_J06453153-6646120,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J06453153-6646120_sdL8_Xshooter_NIR_Primeval-IV.fits,nir,ESO VLT,XShooter,Echelle,2016-02-19T00:57:33.299300,,Zhan18.1352
ULAS_J111429.54+072809.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J111429.54+072809.5_esdL0_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-01-18T06:39:19.663000,,Zhan18.1352
ULAS_J135359.58+011856.7,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J135359.58+011856.7_sdL0_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-28T21:36:00.191000,,Zhan18.1352
ULAS_J223302.03+062030.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J223302.03+062030.8_esdL0.5_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-09-03T01:47:29.948000,,Zhan18.1352
ULAS_J230256.53+121310.2,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J230256.53+121310.2_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-19T03:19:42.776000,,Zhan18.1352
ULAS_J144151.55+043738.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J144151.55+043738.5_sdL4_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-19T21:56:10.501000,,Zhan18.1352
ULAS_J134852.93+101611.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J134852.93+101611.8_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-03-20T05:57:04.268000,,Zhan18.1352
2MASS_J06164006-6407194,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J06164006-6407194_esdL6_Xshooter_NIR_Primeval-I.fits,nir,ESO VLT,XShooter,Echelle,2016-01-24T02:58:23.940800,,Zhan18.1352
ULAS_J075335.23+200622.4,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J075335.23+200622.4_sdL0_OSIRIS_GTC39-12B_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-12-07T06:03:41.304000,,Zhan18.1352
ULAS_J230443.30+093423.9,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J230443.30+093423.9_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-14T03:57:31.244000,,Zhan18.1352
ULAS_J224054.61+030902.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J224054.61+030902.0_M7_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-06T04:42:13.146000,,Zhan18.1352
ULAS_J231924.35+052524.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J231924.35+052524.5_esdL1_comb_OSIRIS_scombine_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2012-09-03T02:42:30.244000,,Zhan18.1352
ULAS_J151913.03-000030.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J151913.03-000030.0_sdL4_Xshooter_NIR_Primeval-I.fits,nir,ESO VLT,XShooter,Echelle,,,Zhan18.1352
SDSS_J133348.24+273508.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/SDSS_J133348.24+273508.8_sdL1_OSIRIS_GTC65-13B_Primeval-I.fits,optical,GTC,OSIRIS,Missing,2013-12-23T05:03:16.650000,,Zhan18.1352
