NAME,RA,DEC,LIT_SPT,Discovery Ref.,ADS_Link,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
2MASS J12270506-0447207,186.7710085,-4.7890517,usdM8.5,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,,,,,3000.742,3000.164,3003.202,5.305,5.297,5.309,-1.022,-1.037,-0.992
ULAS J123142.99+015045.4,187.9295683,1.8459204,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J123257.20+410723.5,188.2382139,41.1234264,esdM7,Lépine et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
ULAS J124104.75-000531.4,190.2697960,-0.0920700,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J124410.11+273625.8,191.0421180,27.6071780,esdL0.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J124425.75+102439.3,191.1082044,10.4119942,esdL0.5,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
2MASS J12451711+6016103,191.3212584,60.2695206,sdM8.5,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,2928.526,2919.516,2940.839,5.256,5.204,5.287,-0.936,-0.993,-0.822
SDSS J124904.38+100413.4,192.2682337,10.0705386,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J124947.04+095019.8,192.4454711,9.8382541,sdL1,Zhang et al. 2017a,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.3040Z/abstract,,,,,,,,,,,,,
ULAS J125134.40-005556.7,192.8935220,-0.9320880,sdM8,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J125226.62+092920.1,193.1109470,9.4889200,sdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J125508.35+294939.1,193.7850080,29.8276103,usdM7,Ahumada et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJS..249....3A/abstract,,,,,,,,,,,,,
SSSPM J1256-1408,194.0583877,-14.1445604,sdM9,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
SDSS J125637.13−022452.4,194.1547408,-2.4145184,usdL3,Zhang et al. 2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1005Z/abstract,,,,,,,,,,,,,
SDSS J125938.97+493404.2,194.9125197,49.5678699,esdM7,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
2MASSW J1300425+191235,195.1771175,19.2096107,sdL1,Bardalez Gagliuffi et al. 2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...794..143B/abstract,2200.000,,,Blake et al. 2010,,,,,,,,,
SDSS J130615.20+045908.8,196.5633202,4.9859140,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J130710.22+151103.4,196.7925850,15.1843030,sdL8,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J130852.73+391142.8,197.2200713,39.1953673,sdM7,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
ULAS J131610.28+075553.0,199.0428300,7.9313900,sdT6.5,Burningham et al. 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.440..359B/abstract,,,,,,,,,,,,,
ULAS J131705.66+091016.9,199.2736454,9.1717374,esdM7,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
SDSS J131822.82-011150.1,199.5950820,-1.1972490,esdM8,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J131943.77+120900.2,199.9323770,12.1500720,sdT5,Burningham et al. 2010,https://ui.adsabs.harvard.edu/abs/2010MNRAS.406.1885B/abstract,,,,,,,,,,,,,
ULAS J132012.11+053943.6,200.0507880,5.6622340,esdM7.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J132823.25+302144.8,202.0976613,30.3624663,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J13334822+2735115,203.4510080,27.5858030,sdL1,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
SDSS J133837.01-022908.4,204.6542120,-2.4856800,sdL7,Zhang et al. 2017a,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.3040Z/abstract,,,,,,,,,,,,,
ULAS J134206.86+053724.9,205.5288103,5.6241134,sdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J134423.98+280603.8,206.0999400,28.1010730,sdL4,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
WISE J134555.25+022247.2,206.4802199,2.3804041,esdM7.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J134749.74+333601.7,206.9571575,33.6004938,sdL0,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
ULAS J134852.93+101611.8,207.2205580,10.2699680,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J135053.40+235024.3,207.7231129,23.8402203,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J135058.86+081506.8,207.7452480,8.2519110,usdL3,Burningham et al. 2010,https://ui.adsabs.harvard.edu/abs/2010MNRAS.404.1952B/abstract,,,,,,,,,,,,,
2MASS J13512249+1419168,207.8434720,14.3212336,esdM7,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
LSPM J1351+5506,207.8691150,55.1159574,esdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,3069.959,3064.389,3077.022,5.268,5.261,5.273,-0.957,-0.971,-0.937
ULAS J135216.31+312327.0,208.0694546,31.3910692,esdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J135359.58+011856.7,208.4982700,1.3157730,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
WISEA J135501.90−825838.9,208.7634900,-82.9770890,sdL5,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
SDSS J141053.86+621742.6,212.7245297,62.2951046,esdM8,West et al. 2008,https://ui.adsabs.harvard.edu/abs/2008AJ....135..785W/abstract,,,,,,,,,,,,,
2MASS J14114474-4524153,212.9361037,-45.4043026,sdM9,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
2MASS J14120397+1216100,213.0165460,12.2694480,sdL5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J141405.74−014202.7,213.5236220,-1.7010410,esdL0,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J141623.94+134836.3,214.0997590,13.8100890,sdT7.5,Burgasser et al. 2010,https://ui.adsabs.harvard.edu/abs/2010AJ....139.2448B/abstract,,,,,,,,,,,,,
SDSS J141624.08+134826.7,214.1003082,13.8072759,sdL7,Abazajian et al. 2009,https://ui.adsabs.harvard.edu/abs/2009ApJS..182..543A/abstract,,,,,,,,,,,,,
2MASS J14183233+0253259,214.6348751,2.8904600,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J142320.79+011638.2,215.8366300,1.2772800,sdT8,Mace et al. 2013,https://ui.adsabs.harvard.edu/abs/2013ApJS..205....6M/abstract,680.000,5.000,-0.360,Burningham et al. 2013,,,,,,,,,
LSPM J1425+7102,216.2709223,71.0360241,sdM8,Lépine et al. 2013,https://ui.adsabs.harvard.edu/abs/2003ApJ...585L..69L/abstract,,,,,2947.002,2938.393,2979.516,5.319,5.239,5.332,-1.132,-1.166,-1.028
LHS 2924,217.1801147,33.1775720,sdM9,Boeshaar et al. 1985,https://ui.adsabs.harvard.edu/abs/1985AJ.....90..817B/abstract,2500.000,5.000,,Gagné et al. 2015,,,,,,,,,
2MASS J14313097+1436539,217.8788524,14.6149588,sdL1,Sheppard et al. 2009,https://ui.adsabs.harvard.edu/abs/2009AJ....137..304S/abstract,,,,,,,,,,,,,
ULAS J143154.18-004114.3,217.9757610,-0.6873080,sdM9,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
2MASS J14343616+2202463,218.6507107,22.0462443,sdM9,Sheppard et al. 2009,https://ui.adsabs.harvard.edu/abs/2009AJ....137..304S/abstract,,,,,,,,,,,,,
2MASS J14351706-0147115,218.8212141,-1.7865082,sdM9,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J143645.25+310914.7,219.1887896,31.1541942,esdM7,Lépine et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
LHS 377,219.7512861,18.6607528,sdM7,Kesseli et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....157...63K/abstract,3000.000,-2.993,,Kesseli et al. 2019,,,,,,,,,
2MASS J14394298-1100430,219.9290601,-11.0120408,sdL1,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
2MASS J14405684-2225149,220.2367562,-22.4209250,sdM8.5,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,2864.354,2858.209,2872.653,5.125,5.114,5.137,-0.180,-0.220,-0.138
BRLT 253,220.4648080,4.6273550,sdL4,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SSSPM J1444-2019,221.0847404,-20.3237455,sdL0,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
ULAS J145234.65+043738.4,223.1444000,4.6273750,esdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J145255.58+272324.4,223.2318279,27.3904304,sdL1,Schmidt et al. 2010,https://ui.adsabs.harvard.edu/abs/2010AJ....139.1808S/abstract,,,,,,,,,,,,,
ULAS J150457.65+053800.8,226.2402340,5.6335630,sdT5.5,Zhang et al. 2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.1260Z/abstract,965.000,5.200,-0.300,Burningham et al. 2013,,,,,,,,,
SIPS J1512-0112,228.0742763,-1.2095564,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
BRLT 283,229.2077060,8.6019820,sdL5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J151913.03-000030.0,229.8043280,-0.0083600,esdL4,Zhang et al. 2017a,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.3040Z/abstract,,,,,,,,,,,,,
WISE J152434.49+002057.5,231.1442728,0.3494162,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J153037.83+495205.7,232.6578633,49.8682479,sdM7,Lépine et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
2MASS J15412408+5425598,235.3503962,54.4333447,sdM7.5,Burgasser et al. 2004,https://ui.adsabs.harvard.edu/abs/2004AJ....127.2856B/abstract,,,,,,,,,,,,,
ULAS J154638.34-011213.0,236.6597580,-1.2036380,sdL3,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
2MASS J15522538+0951585,238.1057838,9.8662941,sdM7,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
WISE J155349.98+693355.2,238.4582860,69.5653400,sdT3,Meisner et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...915..120M/abstract,1200.000,5.000,-0.500,Meisner et al. 2021,,,,,,,,,
2MASS J15561873+1300527,239.0780633,13.0146447,sdM8,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
SDSS J155707.09+283531.5,239.2795825,28.5922409,usdM7,Adelman-McCarthy et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJS..175..297A/abstract,,,,,,,,,,,,,
2MASS J16141954-8151154,243.5819541,-81.8543183,usdM9,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,3001.108,3000.109,3019.284,5.313,5.286,5.320,-1.054,-1.078,-0.969
2MASS J16262034+3925190,246.5838887,39.4220802,usdL4,Zhang et al. 2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1005Z/abstract,,,,,,,,,,,,,
2MASS J16403197+1231068,250.1331099,12.5184894,esdL0,Burgasser et al. 2004,https://ui.adsabs.harvard.edu/abs/2004AJ....127.2856B/abstract,,,,,,,,,,,,,
2MASS J16403561+2922225,250.1483975,29.3729562,sdM8,Burgasser et al. 2004,https://ui.adsabs.harvard.edu/abs/2004AJ....127.2856B/abstract,,,,,,,,,,,,,
SDSS J164451.75+310352.8,251.2155915,31.0647835,esdM8,Lépine et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
Gl 644 C,253.8968989,-8.3946536,sdM7,Bardalez Gagliuffi et al. 2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...883..205B/abstract,2989.000,,0.000,Marfil et al. 2021,,,,,,,,,
SDSS J165850.26+182000.6,254.7096132,18.3333569,sdL1,West et al. 2008,https://ui.adsabs.harvard.edu/abs/2008AJ....135..785W/abstract,,,,,,,,,,,,,
GJ 660.1B,258.2133853,-5.1237304,sdM7,Aganze et al. 2016,https://ui.adsabs.harvard.edu/abs/2016AJ....151...46A/abstract,2550.000,,,Aganze et al. 2016,,,,,,,,,
2MASS J17561080+2815238,269.0448777,28.2565151,sdL1,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,,,,,,,,,
WISEA J181006.18−101000.5,272.5257500,-10.1668100,esdT0,Schneider et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...898...77S/abstract,800.000,5.000,-1.500,Kirkpatrick et al. 2021,,,,,,,,,
2MASS J18201045+2021263,275.0435869,20.3573279,sdM8.5,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,3118.619,3110.958,3128.917,4.988,4.964,5.008,-1.005,-1.021,-0.958
LSR J1826+3014,276.5458466,30.2385765,sdL0,Lépine et al. 2002,https://ui.adsabs.harvard.edu/abs/2002ApJ...581L..47L/abstract,,,,,,,,,,,,,
2MASS J18353790+3259545,278.9078338,32.9981434,sdM8,Berger et al. 2006,https://ui.adsabs.harvard.edu/abs/2006ApJ...648..629B/abstract,2400.000,5.000,,Rajpurohit et al. 2018,,,,,,,,,
2MASS J18355309-3217129,278.9713018,-32.2868673,sdM7,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,,,,,,,,,
V* V492 Lyr,280.8421916,40.6725955,sdM7,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,2709.000,,-0.040,Rojas-Ayala et al. 2012,,,,,,,,,
SSSPM J1930-4311,292.4208556,-43.1767403,sdM7,Luhman et al. 2014a,https://ui.adsabs.harvard.edu/abs/2004A%26A...425..519S/abstract,,,,,2989.210,2978.536,3014.890,5.315,5.270,5.329,-1.055,-1.096,-0.903
WISE J194128.98−342335.8,295.3697924,-34.3918482,sdM8,Luhman et al. 2014b,https://ui.adsabs.harvard.edu/abs/2014ApJ...781....4L/abstract,,,,,,,,,,,,,
PM J19418-0208,295.4705268,-2.1460941,sdM8,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
WISE J200520.38+542433.9,301.3407439,54.4120205,sdT8,Mace et al. 2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...777...36M/abstract,,,,,,,,,,,,,
2MASS J20115649-6201127,302.9852030,-62.0201095,sdM8,Marocco et al. 2013,https://ui.adsabs.harvard.edu/abs/2013AJ....146..161M/abstract,,,,,,,,,,,,,
LSPM J2036+5100,309.0900582,51.0013042,sdM7.5,Lépine et al. 2003,https://ui.adsabs.harvard.edu/abs/2003AJ....125.1598L/abstract,,,,,,,,,,,,,
2MASS J20402401+6959057,310.1004436,69.9850469,esdL0.5,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
2MASS J21340795+7132312,323.5336202,71.5421521,usdL0.5,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
CWISE J221706.28−145437.6,334.2761700,-14.9104400,esdT0,Meisner et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...915..120M/abstract,,,,,,,,,,,,,
ULAS J223302.03+062030.8,338.2584980,6.3419010,esdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J223440.80+001002.6,338.6700050,0.1673950,sdL1,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
2MASS J22590210+1156035,344.7589440,11.9339290,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J230256.53+121310.2,345.7356050,12.2195540,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J230443.30+093423.9,346.1804490,9.5733290,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J230711.01+014447.1,346.7958890,1.7464400,usdL4.5,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.479.1383Z/abstract,,,,,,,,,,,,,
ULAS J231924.35+052524.5,349.8514910,5.4234980,esdL1,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
LSPM J2331+4607N,352.8253266,46.1252132,sdM7,Lépine et al. 2005,https://ui.adsabs.harvard.edu/abs/2005AJ....129.1483L/abstract,,,,,,,,,,,,,
2MASS J23470713+0219127,356.7799271,2.3202519,sdM7,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
WISE J235408.36+551854.5,358.5293715,55.3172641,sdM8,Luhman et al. 2014b,https://ui.adsabs.harvard.edu/abs/2014ApJ...781....4L/abstract,,,,,,,,,,,,,