shortname,source,reference,SpT,spt_ref,ra,dec,epoch,J_MKO,J_err,H_MKO,H_err,MKO_ref,W1_mag,W1_err,W2_mag,W2_err,W3_mag,W3_err,W4_mag,W4_err,WISE_ref,ch1_mag,ch1_err,ch2_mag,ch2_err,Spizter_ref,plx_mas,plx_err,muRA_masyr,muRA_err,muDEC_masyr,muDEC_err,astrometry_ref
0302-5817,WISEA J030237.52-581740.3,Tinn18,Y0,Tinn18,45.656121,-58.294668,2014.0,-,-,-,-,-,19.262,nan,15.809,0.091,12.940,nan,9.323,nan,Cutr12,18.187,0.092,15.844,0.019,Kirk19,56.1,4.4,41.2,4.9,-76.4,5.2,Kirk19
0304-2705,WISE J030449.03-270508.3,Pinf14,Y0pec,Pinf14,46.2045,-27.085116,2014.0,20.79,0.09,21.02,0.16,Pinf14,19.140,nan,15.592,0.088,12.775,nan,8.705,nan,Cutr12,17.706,0.033,15.494,0.016,Kirk19,81.5,7.7,128.0,7.9,497.2,6.5,Kirk19
0336-0143,WISE J033605.05-014350.4,Mace13,Y0,Mart18,54.020859,-1.732166,2014.0,21.10,nan,20.20,nan,Mart18,18.449,0.470,14.557,0.057,12.066,nan,8.688,nan,Cutr12,17.254,0.059,14.625,0.020,Kirk19,99.0,2.4,-257.8,1.2,-1212.3,1.2,Kirk19
0350-5658,WISE J035000.32-565830.2,Kirk12,Y1,Kirk12,57.501,-56.975637,2014.0,22.09,0.12,22.51,0.20,Legg15,22.260,nan,14.745,0.044,12.325,0.282,8.931,nan,Cutr12,17.936,0.096,14.688,0.020,Schn15,174.6,2.6,-216.5,1.3,-579.0,1.4,Kirk19
0359-5401,WISE J035934.06-540154.6,Kirk12,Y0,Kirk12,59.891824,-54.032512,2014.0,21.53,0.11,21.72,0.17,Legg15,19.031,nan,15.384,0.054,12.877,nan,9.566,nan,Cutr12,17.553,0.072,15.326,0.023,Schn15,75.8,2.5,-143.0,1.3,-774.8,1.5,Kirk19
0410+1502,WISEP J041022.71+150248.5,Cush11,Y0,Cush11,62.595853,15.044417,2014.0,19.44,0.03,20.02,0.05,Legg13,18.170,nan,14.113,0.047,12.314,0.500,8.842,nan,Cutr12,16.636,0.042,14.166,0.019,Schn15,150.2,2.4,954.2,1.1,-2213.3,1.1,Kirk19
0535-7500,WISE J053516.80-750024.9,Kirk12,≥Y1,Schn15,83.819481,-75.006736,2014.0,22.50,0.20,23.34,0.34,Legg15,17.940,0.143,14.904,0.047,12.349,nan,9.427,0.465,Cutr12,17.753,0.084,15.009,0.021,Schn15,66.4,2.4,-123.7,1.1,19.6,1.1,Kirk19
0647-6232,WISE J064723.23-623235.5,Kirk13,Y1,Kirk13,101.846795,-62.542827,2014.0,22.94,0.10,23.31,0.17,Legg17,19.539,nan,15.224,0.051,12.961,nan,9.437,nan,Cutr12,17.893,0.092,15.07,0.022,Schn15,100.3,2.4,2.2,1.0,387.9,1.1,Kirk19
0713-2917,WISE J071322.55-291751.9,Kirk12,Y0,Kirk12,108.344415,-29.298188,2014.0,19.98,0.05,20.19,0.08,Legg15,18.776,nan,14.462,0.052,12.294,0.355,9.153,nan,Cutr12,16.673,0.043,14.223,0.019,Kirk19,107.5,2.4,356.5,1.3,-413.8,1.3,Kirk19
0734-7157,WISE J073444.02-715744.0,Kirk12,Y0,Kirk12,113.681527,-71.962324,2014.0,20.05,0.05,20.92,0.12,Legg15,18.749,0.281,15.189,0.05,12.959,nan,9.843,0.462,Cutr12,17.649,0.077,15.213,0.022,Schn15,75.0,2.4,-565.5,1.3,-78.9,1.3,Kirk19
0825+2805,WISEA J082507.37+280548.2,Schn15,Y0.5,Schn15,126.280555,28.096544,2014.0,22.401,0.050,22.965,0.139,Schn15,18.444,nan,14.578,0.060,11.660,nan,8.756,nan,Cutr12,17.327,0.062,14.651,0.02,Kirk19,155.8,2.4,-63.1,1.3,-232.8,1.2,Kirk19
0855-0714,WISE J085510.83-071442.5,Luhm14b,≥Y4,Kirk19,133.787057,-7.244431,2014.0,-,-,-,-,-,19.805,0.424,13.704,0.033,11.143,0.126,-,-,Kirk19,17.470,0.066,13.923,0.016,Kirk19,438.9,3.0,-8118.9,1.9,679.3,1.9,Kirk19
1141-3326,WISEA J114156.67-332635.5,Tinn14,Y0,Legg17,175.485224,-33.443233,2014.0,19.76,0.14,-,-,Tinn18,17.079,0.117,14.611,0.055,11.948,nan,8.981,nan,Cutr12,16.414,0.036,14.659,0.02,Kirk19,99.7,4.2,-904.4,2.3,-76.5,2.5,Kirk19
1206+8401,WISEA J120604.25+840110.5,Schn15,Y0,Schn15,181.512532,84.019282,2014.0,20.354,0.029,21.069,0.071,Schn15,18.734,nan,15.058,0.054,12.536,nan,8.838,nan,Cutr12,17.339,0.061,15.22,0.022,Schn15,81.9,2.5,-575.0,1.3,-255.7,1.1,Kirk19
1405+5534,WISEP J140518.40+553421.5,Cush11,Y0.5pec,Schn15,211.32247,55.572792,2014.0,21.06,0.06,21.41,0.08,Legg13,18.765,0.396,14.097,0.037,12.204,0.263,8.981,nan,Cutr12,16.876,0.046,14.058,0.019,Schn15,157.9,3.1,-2326.5,1.7,236.1,1.3,Kirk19
1541-2250,WISEP J154151.65-225025.2,Cush11,Y1,Schn15,235.46406,-22.840555,2014.0,21.12,0.06,21.07,0.07,Legg15,16.736,0.165,14.246,0.063,12.312,nan,8.892,nan,Cutr12,16.658,0.042,14.228,0.019,Schn15,167.1,2.3,-901.2,1.2,-82.4,1.2,Kirk19
1639-6847,WISE J163940.83-684738.6,Tinn12,Y0pec,Schn15,249.921745,-68.79728,2014.0,-,-,-,-,-,17.266,0.187,13.544,0.059,11.755,nan,8.585,nan,Cutr12,16.186,0.018,13.588,0.016,Kirk19,211.9,2.7,582.0,1.5,-3099.8,1.5,Kirk19
1738+2732,WISEP J173835.52+273258.9,Cush11,Y0,Cush11,264.648439,27.549315,2014.0,20.05,0.09,20.45,0.03,Legg13,17.71,0.157,14.497,0.043,12.448,0.399,8.939,nan,Cutr12,17.093,0.053,14.473,0.019,Schn15,131.0,2.4,337.3,1.1,-338.1,1.1,Kirk19
1828+2650,WISEP J182831.08+265037.8,Cush11,≥Y2,Kirk12,277.130718,26.84401,2014.0,23.48,0.23,22.85,0.24,Legg13,18.248,nan,14.353,0.045,12.444,0.338,8.505,nan,Cutr12,16.915,0.020,14.321,0.020,Kirk19,100.7,2.3,1017.5,1.0,174.5,1.0,Kirk19
2056+1459,WISEP J205628.90+145953.3,Cush11,Y0,Schn15,314.121286,14.998666,2014.0,19.43,0.04,19.96,0.04,Legg13,16.48,0.075,13.839,0.037,11.731,0.249,8.493,nan,Cutr12,16.031,0.030,13.923,0.018,Schn15,138.3,2.2,823.2,1.0,534.1,1.0,Kirk19
2209+2711,WISE J220905.73+271143.9,Cush14,Y0,Cush14,332.275276,27.194171,2014.0,22.58,0.14,22.98,0.31,Cush14,18.831,nan,14.77,0.055,12.455,0.387,9.173,nan,Cutr12,17.815,0.087,14.739,0.02,Schn15,161.6,2.4,1204.4,1.1,-1357.5,1.1,Kirk19
2220-3628,WISE J222055.31-362817.4,Kirk12,Y0,Kirk12,335.230876,-36.471641,2014.0,20.64,0.05,20.96,0.08,Legg15,18.772,nan,14.714,0.056,12.292,nan,9.178,nan,Cutr12,17.200,0.057,14.736,0.021,Schn15,97.0,2.4,286.8,1.2,-81.4,1.2,Kirk19
2354+0240,WISEA J235402.79+024014.1,Schn15,Y1,Schn15,358.512041,2.670263,2014.0,23.068,0.199,22.882,0.300,Schn15,18.263,nan,15.007,0.085,12.278,nan,8.949,nan,Cutr12,18.105,0.109,15.013,0.022,Schn15,124.1,4.9,491.1,2.8,-393.1,3.0,Kirk19